,answers,contexts
132,"The most effective ways to protect yourself and others against coronavirus are to frequently clean your hands, cover your cough with the bend of elbow or tissue, and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing.",Possible vaccines and some specific drug treatments are under investigation. They are being tested through clinical trials. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19.
133,"There are currently no vaccines against human coronaviruses, including the virus that causes coronavirus. This is why it is very important to prevent infection and to take measures to contain further spread of the virus.","There are currently no vaccines against human coronaviruses, including the virus that causes COVID-19. This is why it is very important to prevent infection and to take measures to contain further spread of the virus."
134,"The development of vaccines take time. Several pharmaceutical companies and research laboratories are working on vaccine candidates. It will, however, take many months or even years before any vaccine can be widely used, as it needs to undergo extensive testing in clinical trials to determine its safety and efficacy. These clinical trials are an essential precursor to regulatory approval and usually take place in three phases. The first, involving a few dozen healthy volunteers, tests the vaccine for safety, monitoring for adverse effects. The second, involving several hundred people, usually in a part of the world badly affected by the disease, looks at how effective the vaccine is in the field, and the third does the same in several thousand people.","The development of vaccines take time. Several pharmaceutical companies and research laboratories are working on vaccine candidates. It will, however, take many months or even years before any vaccine can be widely used, as it needs to undergo extensive testing in clinical trials to determine its safety and efficacy. These clinical trials are an essential precursor to regulatory approval and usually take place in three phases. The first, involving a few dozen healthy volunteers, tests the vaccine for safety, monitoring for adverse effects. The second, involving several hundred people, usually in a part of the world badly affected by the disease, looks at how effective the vaccine is in the field, and the third does the same in several thousand people."
135,There is no specific treatment or vaccine for this disease.,"Healthcare providers are mostly using a symptomatic approach, meaning they treat the symptoms rather than target the virus, and provide supportive care (e.g. oxygen therapy, fluid management) for infected persons, which can be highly effective."
136,"Healthcare providers are mostly using a symptomatic approach, meaning they treat the symptoms rather than target the virus, and provide supportive care (e.g. oxygen therapy, fluid management) for infected persons, which can be highly effective.",There is no specific treatment or vaccine for this disease.
137,"In severe and critically ill patients, a number of drugs are being tried to target the virus, but the use of these need to be more carefully assessed in randomised controlled trials. Several clinical trials are ongoing to assess their effectiveness but results are not yet available.","Healthcare providers are mostly using a symptomatic approach, meaning they treat the symptoms rather than target the virus, and provide supportive care (e.g. oxygen therapy, fluid management) for infected persons, which can be highly effective."
138,"As this is a new virus, no vaccine is currently available. Although work on a vaccine has already started by several research groups and pharmaceutical companies worldwide, it may be many months or even more than a year before a vaccine has been tested and is ready for use in humans","In severe and critically ill patients, a number of drugs are being tried to target the virus, but the use of these need to be more carefully assessed in randomised controlled trials. Several clinical trials are ongoing to assess their effectiveness but results are not yet available."
139,"There is no specific antiviral treatment recommended for coronavirus and there is currently no vaccine. People infected with the virus that causes coronavirus should receive supportive care to help relieve symptoms. For severe cases, treatment in a hospital might be required. Call your healthcare provider to find out more about what care and treatment is available to you. There are several clinical trials occurring in the United States, as well as in New York State, using hydroxychloroquine, chloroquine, azithromycin, and other therapies. As we learn more, we hope that these efforts will establish better treatment options.","There is no specific antiviral treatment recommended for COVID-19 and there is currently no vaccine. People infected with the virus that causes COVID-19 should receive supportive care to help relieve symptoms. For severe cases, treatment in a hospital might be required. Call your healthcare provider to find out more about what care and treatment is available to you. There are several clinical trials occurring in the United States, as well as in New York State, using hydroxychloroquine, chloroquine, azithromycin, and other therapies. As we learn more, we hope that these efforts will establish better treatment options."
140,"There is currently no vaccine to prevent coronavirus. The best way to prevent infection is to prevent exposure to the virus that causes coronavirus. CDC recommends everyday preventive actions to help prevent the spread of any respiratory viruses: Wash your hands often with soap and water, for at least 20 seconds. If soap and water are not available, use an alcohol-based hand sanitizer. Avoid touching your eyes, nose, and mouth with unwashed hands. Avoid close contact with people who are sick. Stay home when you are sick. Cover your cough or sneeze with a tissue, then throw the tissue in the trash can. Clean and disinfect frequently touched objects and surfaces.","There is currently no vaccine to prevent COVID-19. The best way to prevent infection is to prevent exposure to the virus that causes COVID-19. CDC recommends everyday preventive actions to help prevent the spread of any respiratory viruses: Wash your hands often with soap and water, for at least 20 seconds. If soap and water are not available, use an alcohol-based hand sanitizer. Avoid touching your eyes, nose, and mouth with unwashed hands. Avoid close contact with people who are sick. Stay home when you are sick. Cover your cough or sneeze with a tissue, then throw the tissue in the trash can. Clean and disinfect frequently touched objects and surfaces."
141,"If surfaces are dirty, first clean them using a detergent and water, then disinfect them. A list of products suitable for use against coronavirus is available here. This list has been pre-approved by the U.S. Environmental Protection Agency (EPA) for use during the coronavirus outbreak. In addition, wash your hands for 20 seconds with soap and water after bringing in packages, or after trips to the grocery store or other places where you may have come into contact with infected surfaces.","As we learn more, continue to follow the CDC's recommendations for cleaning frequently touched surfaces and objects every day. These include counters, tabletops, doorknobs, bathroom fixtures, toilets, phones, keyboards, tablets, and bedside tables."
142,"As we learn more, continue to follow the CDC's recommendations for cleaning frequently touched surfaces and objects every day. These include counters, tabletops, doorknobs, bathroom fixtures, toilets, phones, keyboards, tablets, and bedside tables.","If surfaces are dirty, first clean them using a detergent and water, then disinfect them. A list of products suitable for use against COVID-19 is available here. This list has been pre-approved by the U.S. Environmental Protection Agency (EPA) for use during the COVID-19 outbreak. In addition, wash your hands for 20 seconds with soap and water after bringing in packages, or after trips to the grocery store or other places where you may have come into contact with infected surfaces."
143,"There's a lot we still don't know, such as how different conditions, such as exposure to sunlight, heat, or cold, can affect these survival times.","As we learn more, continue to follow the CDC's recommendations for cleaning frequently touched surfaces and objects every day. These include counters, tabletops, doorknobs, bathroom fixtures, toilets, phones, keyboards, tablets, and bedside tables."
144,"If you think a surface may be infected, clean it with simple disinfectant to kill the virus and protect yourself and others. Clean your hands with an alcohol-based hand rub or wash them with soap and water. Avoid touching your eyes, mouth, or nose.","If you think a surface may be infected, clean it with simple disinfectant to kill the virus and protect yourself and others. Clean your hands with an alcohol-based hand rub or wash them with soap and water. Avoid touching your eyes, mouth, or nose."
145,"There is currently no evidence to confirm or rule out that SARS-CoV-2 can be transmitted through coins or banknotes. Just like doorknobs and handrails in public places, coins and banknotes are touched by a large number of people. Thorough hand washing with soap and water or use of alcohol-based hand sanitisers – especially before eating, drinking or smoking – and avoidance of touching the face, eyes and mouth is recommended after physical contact with frequently touched objects, including banknotes and coins.","There is currently no evidence to confirm or rule out that SARS-CoV-2 can be transmitted through coins or banknotes. Just like doorknobs and handrails in public places, coins and banknotes are touched by a large number of people. Thorough hand washing with soap and water or use of alcohol-based hand sanitisers – especially before eating, drinking or smoking – and avoidance of touching the face, eyes and mouth is recommended after physical contact with frequently touched objects, including banknotes and coins."
146,"Like any other object, coins and banknotes can be potentially contaminated with SARS-CoV-2. A study by van Doremalen et al. published by The New England Journal of Medicine reported that the environmental stability of the causal agent of coronavirus (i.e. SARS-CoV-2) is up to four hours on copper, up to 24 hours on cardboard, and up to two to three days on stainless steel, albeit with significantly decreased titres. A pre-printed publication by Chin et al. describes detectable levels of infectious virus recovered from banknotes up to two days after inoculation and up to four days on stainless steel. These findings resulted from experiments in a controlled environment and should be interpreted with caution when translated to a real-life environment. In summary, it is possible that SARS-CoV-2 survives on banknotes and coins in real-life conditions; depending on the material properties end environmental conditions, contamination may persist for a variable period of time.","It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to behave like other coronaviruses. Studies suggest that coronaviruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment)."
147,"It is not certain how long the virus that causes coronavirus survives on surfaces, but it seems to behave like other coronaviruses. Studies suggest that coronaviruses (including preliminary information on the coronavirus virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment).","Like any other object, coins and banknotes can be potentially contaminated with SARS-CoV-2. A study by van Doremalen et al. published by The New England Journal of Medicine reported that the environmental stability of the causal agent of COVID-19 (i.e. SARS-CoV-2) is up to four hours on copper, up to 24 hours on cardboard, and up to two to three days on stainless steel, albeit with significantly decreased titres. A pre-printed publication by Chin et al. describes detectable levels of infectious virus recovered from banknotes up to two days after inoculation and up to four days on stainless steel. These findings resulted from experiments in a controlled environment and should be interpreted with caution when translated to a real-life environment. In summary, it is possible that SARS-CoV-2 survives on banknotes and coins in real-life conditions; depending on the material properties end environmental conditions, contamination may persist for a variable period of time."
148,"A recent study found that the coronavirus coronavirus can survive up to four hours on copper, up to 24 hours on cardboard, and up to two to three days on plastic and stainless steel. The researchers also found that this virus can hang out as droplets in the air for up to three hours before they fall. But most often they will fall more quickly.","It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to behave like other coronaviruses. Studies suggest that coronaviruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment)."
149,"If you are feeling ill with coronavirus symptoms (such as fever, cough, difficulty breathing, muscle pain or general weakness), it is recommended that you contact your local healthcare services online or by telephone. If your healthcare provider believes there is a need for a laboratory test for the virus that causes coronavirus, he/she will inform you of the procedure to follow and advise where and how the test can be performed.","If you are feeling ill with COVID-19 symptoms (such as fever, cough, difficulty breathing, muscle pain or general weakness), it is recommended that you contact your local healthcare services online or by telephone. If your healthcare provider believes there is a need for a laboratory test for the virus that causes COVID-19, he/she will inform you of the procedure to follow and advise where and how the test can be performed."
150,"If you are well, no testing is recommended. If you are experiencing symptoms of coronavirus, you should immediately isolate yourself from others. Call your local UN clinic/medical facility to inform them of your condition and relevant travel/exposure history. If you had been identified as a close contact of a case by the local Ministry of Health or WHO, please also indicate this. From here you will be advised if a medical assessment is necessary and how to get tested.","If you are well, no testing is recommended. If you are experiencing symptoms of COVID-19, you should immediately isolate yourself from others. Call your local UN clinic/medical facility to inform them of your condition and relevant travel/exposure history. If you had been identified as a close contact of a case by the local Ministry of Health or WHO, please also indicate this. From here you will be advised if a medical assessment is necessary and how to get tested."
151,There are no commercially available coronavirus test kits available for the public to purchase. Clinical testing must be authorized by your doctor or the local health department in the county where you live.,There are no commercially available COVID-19 test kits available for the public to purchase. Clinical testing must be authorized by your doctor or the local health department in the county where you live.
152,"A positive test result shows you might have antibodies from an infection with the virus that causes coronavirus. However, there is a chance a positive result means that you have antibodies from an infection with a virus from the same family of viruses (called coronaviruses), such as the one that causes the common cold.","Regardless of whether you test positive or negative, the results do not confirm whether or not you are able to spread the virus that causes COVID-19. Until we know more, continue to take steps to protect yourself and others."
153,"Regardless of whether you test positive or negative, the results do not confirm whether or not you are able to spread the virus that causes coronavirus. Until we know more, continue to take steps to protect yourself and others.","A positive test result shows you might have antibodies from an infection with the virus that causes COVID-19. However, there is a chance a positive result means that you have antibodies from an infection with a virus from the same family of viruses (called coronaviruses), such as the one that causes the common cold."
154,"If you test negative, you might not have ever had coronavirus. Talk with your healthcare provider about your test result and the type of test you took to understand what your result means.","Regardless of whether you test positive or negative, the results do not confirm whether or not you are able to spread the virus that causes COVID-19. Until we know more, continue to take steps to protect yourself and others."
155,"Having antibodies to the virus that causes coronavirus might provide protection from getting infected with the virus again. If it does, we do not know how much protection the antibodies might provide or how long this protection might last. You should continue to protect yourself and others since you could get infected with the virus again.","If you test negative, you might not have ever had COVID-19. Talk with your healthcare provider about your test result and the type of test you took to understand what your result means."
156,Antibody tests for coronavirus are available through healthcare providers and laboratories. Check with your healthcare provider to see if they offer antibody tests and whether you should get one.,"Having antibodies to the virus that causes COVID-19 might provide protection from getting infected with the virus again. If it does, we do not know how much protection the antibodies might provide or how long this protection might last. You should continue to protect yourself and others since you could get infected with the virus again."
157,"If you test negative for coronavirus, you probably were not infected at the time your sample was collected. However, that does not mean you will not get sick. The test result only means that you did not have coronavirus at the time of testing. You might test negative if the sample was collected early in your infection and test positive later during your illness. You could also be exposed to coronavirus after the test and get infected then. This means you could still spread the virus. If you develop symptoms later, you might need another test to determine if you are infected with the virus that causes coronavirus.","If you test positive for COVID-19, know what protective steps to take if you are sick or caring for someone."
158,"If you test positive for coronavirus, know what protective steps to take if you are sick or caring for someone.","If you test negative for COVID-19, you probably were not infected at the time your sample was collected. However, that does not mean you will not get sick. The test result only means that you did not have COVID-19 at the time of testing. You might test negative if the sample was collected early in your infection and test positive later during your illness. You could also be exposed to COVID-19 after the test and get infected then. This means you could still spread the virus. If you develop symptoms later, you might need another test to determine if you are infected with the virus that causes COVID-19."
159,coronavirus testing differs by location.,"If you test positive for COVID-19, know what protective steps to take if you are sick or caring for someone."
160,"Decisions about testing are made by state and local health departments or healthcare providers. If you have symptoms of coronavirus and are not tested, it is important to stay home.",COVID-19 testing differs by location.
161,"To be effective against killing some types of germs, hand sanitizers need to have a strength of at least 60% alcohol and be used when hands are not visibly dirty or greasy.","CDC does not encourage the production and use of homemade hand sanitizer products because of concerns over the correct use of the ingredients and the need to work under sterile conditions to make the product. Local industries that are looking into producing hand sanitizer to fill in for commercial shortages can refer to WHO guidelines. Organizations should revert to the use of commercially produced, FDA-approved product once such supplies again become available."
162,"CDC does not encourage the production and use of homemade hand sanitizer products because of concerns over the correct use of the ingredients and the need to work under sterile conditions to make the product. Local industries that are looking into producing hand sanitizer to fill in for commercial shortages can refer to WHO guidelines. Organizations should revert to the use of commercially produced, FDA-approved product once such supplies again become available.","To be effective against killing some types of germs, hand sanitizers need to have a strength of at least 60% alcohol and be used when hands are not visibly dirty or greasy."
163,"If hand sanitizers are not available, hand washing with soap and water is the recommended, and even better, alternative. Liquor is not effective against coronavirus. For an alcohol-based hand rub to be effective, it must have an alcohol content of 60% to 95%.",Do not use hand sanitizer to disinfect frequently touched surfaces and objects. See CDC’s information for cleaning and sanitizing your home.
164,Do not use hand sanitizer to disinfect frequently touched surfaces and objects. See CDC’s information for cleaning and sanitizing your home.,"If hand sanitizers are not available, hand washing with soap and water is the recommended, and even better, alternative. Liquor is not effective against coronavirus. For an alcohol-based hand rub to be effective, it must have an alcohol content of 60% to 95%."
165,Do not rely on “Do It Yourself” or “DIY” recipes based solely on essential oils or formulated without correct compounding practices.,Do not use hand sanitizer to disinfect frequently touched surfaces and objects. See CDC’s information for cleaning and sanitizing your home.
166,"We know that for similar coronaviruses, infected people are unlikely to be re-infected shortly after they recover. However, because the immune response to coronavirus is not yet understood, it is not yet known whether similar immune protection will be observed for patients who have recovered from coronavirus.","We know that for similar coronaviruses, infected people are unlikely to be re-infected shortly after they recover. However, because the immune response to COVID-19 is not yet understood, it is not yet known whether similar immune protection will be observed for patients who have recovered from COVID-19."
167,"A recent study published by The New England Journal of Medicine (NEJM) reported that the causal agent of coronavirus (SARS-CoV-2) is able to persist for up to 24 hours on cardboard, in experimental settings (e.g. controlled relative humidity and temperature). In practice however there is no evidence of the infection ever being transmitted through contaminated packages that are exposed to different environmental conditions and temperatures.","A recent study published by The New England Journal of Medicine (NEJM) reported that the causal agent of COVID-19 (SARS-CoV-2) is able to persist for up to 24 hours on cardboard, in experimental settings (e.g. controlled relative humidity and temperature). In practice however there is no evidence of the infection ever being transmitted through contaminated packages that are exposed to different environmental conditions and temperatures."
168,"The risk of getting infected from mail or a package is very low. But it's a good idea to: Wash your hands after handling mail and Open and discard/recycle packages outside, then wash your hands right away when you go back into the house.","The risk of getting infected from mail or a package is very low. But it's a good idea to: Wash your hands after handling mail and Open and discard/recycle packages outside, then wash your hands right away when you go back into the house."
169,"Currently, there is no evidence of coronavirus transmission associated with imported goods and there have not been any cases of coronavirus in the United States associated with imported goods.","Currently, there is no evidence of COVID-19 transmission associated with imported goods and there have not been any cases of COVID-19 in the United States associated with imported goods."
170,"There is still a lot that is unknown about coronavirus and how it spreads. Coronaviruses are thought to be spread most often by respiratory droplets. Although the virus can survive for a short period on some surfaces, it is unlikely to be spread from domestic or international mail, products or packaging. However, it may be possible that people can get coronavirus by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads.","There is still a lot that is unknown about COVID-19 and how it spreads. Coronaviruses are thought to be spread most often by respiratory droplets. Although the virus can survive for a short period on some surfaces, it is unlikely to be spread from domestic or international mail, products or packaging. However, it may be possible that people can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads."
171,"People working as couriers are not at greater risk of getting coronavirus as a result of managing and handling packages. Couriers delivering packages at homes are advised to keep a distance from the customer, use alcohol-based hand disinfectant frequently (and always before and after contact with a customer), and avoid working if showing signs of respiratory symptoms.","People working as couriers are not at greater risk of getting COVID-19 as a result of managing and handling packages. Couriers delivering packages at homes are advised to keep a distance from the customer, use alcohol-based hand disinfectant frequently (and always before and after contact with a customer), and avoid working if showing signs of respiratory symptoms."
172,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes coronavirus from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.","Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low."
173,"There is no reason to suspect that packages from China harbor coronavirus. Remember, this is a respiratory virus similar to the flu. We don't stop receiving packages from China during their flu season. We should follow that same logic for the virus that causes coronavirus.","There is no reason to suspect that packages from China harbor coronavirus. Remember, this is a respiratory virus similar to the flu. We don't stop receiving packages from China during their flu season. We should follow that same logic for the virus that causes COVID-19."
174,"CDC does not have any evidence to suggest that imported animals or animal products pose a risk for spreading coronavirus in the United States. This is a rapidly evolving situation and information will be updated as it becomes available. CDC, the U. S. Department of Agriculture (USDA), and the U.S. Fish and Wildlife Service (FWS) play distinct but complementary roles in regulating the importation of live animals and animal products into the United States.","CDC does not have any evidence to suggest that imported animals or animal products pose a risk for spreading COVID-19 in the United States. This is a rapidly evolving situation and information will be updated as it becomes available. CDC, the U. S. Department of Agriculture (USDA), and the U.S. Fish and Wildlife Service (FWS) play distinct but complementary roles in regulating the importation of live animals and animal products into the United States."
175,"People working in the supply chain, including logistics, control services, retail, etc. are not at greater risk of getting coronavirus as a result of managing and handling packages. ECDC does not recommend any special measures at the supply chain over and above those addressed to the general public: frequent and thorough hand washing and use of alcohol-based hand disinfectants, keeping a distance from other employees, and not working if showing signs of respiratory symptoms.","People working in the supply chain, including logistics, control services, retail, etc. are not at greater risk of getting COVID-19 as a result of managing and handling packages. ECDC does not recommend any special measures at the supply chain over and above those addressed to the general public: frequent and thorough hand washing and use of alcohol-based hand disinfectants, keeping a distance from other employees, and not working if showing signs of respiratory symptoms."
176,"At this time, there is no evidence that animals play a significant role in spreading the virus that causes coronavirus. Based on the limited information available to date, the risk of animals spreading coronavirus to people is considered to be low.  A small number of pets have been reported to be infected with the virus that causes coronavirus, mostly after contact with people with coronavirus.","Pets have other types of coronaviruses that can make them sick, like canine and feline coronaviruses. These other coronaviruses cannot infect people and are not related to the current COVID-19 outbreak."
177,"Pets have other types of coronaviruses that can make them sick, like canine and feline coronaviruses. These other coronaviruses cannot infect people and are not related to the current coronavirus outbreak.","At this time, there is no evidence that animals play a significant role in spreading the virus that causes COVID-19. Based on the limited information available to date, the risk of animals spreading COVID-19 to people is considered to be low.  A small number of pets have been reported to be infected with the virus that causes COVID-19, mostly after contact with people with COVID-19."
178,"However, since animals can spread other diseases to people, it’s always a good idea to practice healthy habits around pets and other animals, such as washing your hands and maintaining good hygiene.","Pets have other types of coronaviruses that can make them sick, like canine and feline coronaviruses. These other coronaviruses cannot infect people and are not related to the current COVID-19 outbreak."
179,"No. At this time, routine testing of animals for coronavirus is not recommended.","No. At this time, routine testing of animals for COVID-19 is not recommended."
180,"Although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes coronavirus, can spread to people from the skin, fur, or hair of pets.","However, because animals can sometimes carry other germs that can make people sick, it’s always a good idea to practice healthy habits around pets and other animals, including washing hands before and after interacting with them."
181,"However, because animals can sometimes carry other germs that can make people sick, it’s always a good idea to practice healthy habits around pets and other animals, including washing hands before and after interacting with them.","Although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes COVID-19, can spread to people from the skin, fur, or hair of pets."
182,"We are still learning about this virus, but it appears that it can spread from people to animals in some situations. If you are sick with coronavirus, avoid contact with your pet, including petting, snuggling, being kissed or licked, sharing food or bedding.","If you must care for your pet or be around animals while you are sick, wash your hands before and after you interact with pets and wear a mask."
183,"If you must care for your pet or be around animals while you are sick, wash your hands before and after you interact with pets and wear a mask.","We are still learning about this virus, but it appears that it can spread from people to animals in some situations. If you are sick with COVID-19, avoid contact with your pet, including petting, snuggling, being kissed or licked, sharing food or bedding."
184,"We don’t know for sure which animals can be infected with the virus that causes coronavirus. CDC is aware of a small number of pets, including dogs and cats, reported to be infected with the virus that causes coronavirus, mostly after close contact with people with coronavirus. A tiger at a zoo in New York has also tested positive for the virus.","Recent research shows that ferrets, cats, and golden Syrian hamsters can be experimentally infected with the virus and can spread the infection to other animals of the same species in laboratory settings. Pigs, chickens, and ducks did not become infected or spread the infection based on results from these studies. Data from one study suggested dogs are not as likely to become infected with the virus as cats and ferrets. These findings were based on a small number of animals, and do not show whether animals can spread infection to people."
185,"Recent research shows that ferrets, cats, and golden Syrian hamsters can be experimentally infected with the virus and can spread the infection to other animals of the same species in laboratory settings. Pigs, chickens, and ducks did not become infected or spread the infection based on results from these studies. Data from one study suggested dogs are not as likely to become infected with the virus as cats and ferrets. These findings were based on a small number of animals, and do not show whether animals can spread infection to people.","We don’t know for sure which animals can be infected with the virus that causes COVID-19. CDC is aware of a small number of pets, including dogs and cats, reported to be infected with the virus that causes COVID-19, mostly after close contact with people with COVID-19. A tiger at a zoo in New York has also tested positive for the virus."
186,"Possible animal sources of coronavirus have not yet been confirmed. To protect yourself, such as when visiting live animal markets, avoid direct contact with animals and surfaces in contact with animals. Ensure good food safety practices at all times. Handle raw meat, milk or animal organs with care to avoid contamination of uncooked foods and avoid consuming raw or undercooked animal products.","At this time, there is no evidence that animals play a significant role in spreading the virus that causes COVID-19. Based on the limited information available to date, the risk of animals spreading COVID-19 to people is considered to be low. Further studies are needed to understand if and how different animals could be affected by the virus that causes COVID-19 and the role animals may play in the spread of COVID-19."
187,"At this time, there is no evidence that animals play a significant role in spreading the virus that causes coronavirus. Based on the limited information available to date, the risk of animals spreading coronavirus to people is considered to be low. Further studies are needed to understand if and how different animals could be affected by the virus that causes coronavirus and the role animals may play in the spread of coronavirus.","Possible animal sources of COVID-19 have not yet been confirmed. To protect yourself, such as when visiting live animal markets, avoid direct contact with animals and surfaces in contact with animals. Ensure good food safety practices at all times. Handle raw meat, milk or animal organs with care to avoid contamination of uncooked foods and avoid consuming raw or undercooked animal products."
188,"At this time, there is no evidence that animals play a significant role in spreading the virus that causes coronavirus. Based on the limited data available, the risk of animals spreading coronavirus to people is considered to be low. The virus that causes coronavirus spreads mainly from person to person, typically through respiratory droplets from coughing, sneezing, or talking.","People sick with COVID-19 should isolate themselves from other people and animals, including pets, during their illness until we know more about how this virus affects animals. If you must care for your pet or be around animals while you are sick, wear a mask and wash your hands before and after you interact with pets."
189,"People sick with coronavirus should isolate themselves from other people and animals, including pets, during their illness until we know more about how this virus affects animals. If you must care for your pet or be around animals while you are sick, wear a mask and wash your hands before and after you interact with pets.","At this time, there is no evidence that animals play a significant role in spreading the virus that causes COVID-19. Based on the limited data available, the risk of animals spreading COVID-19 to people is considered to be low. The virus that causes COVID-19 spreads mainly from person to person, typically through respiratory droplets from coughing, sneezing, or talking."
190,"Based on the limited information available to date, the risk of animals spreading coronavirus to people is considered to be low. There is no reason to think that any animals, including shelter pets, play a significant role in spreading the virus that causes coronavirus.","Based on the limited information available to date, the risk of animals spreading COVID-19 to people is considered to be low. There is no reason to think that any animals, including shelter pets, play a significant role in spreading the virus that causes COVID-19."
191,"Currently, there is no evidence to suggest the virus that causes coronavirus is circulating in free-living wildlife in the United States, or that wildlife might be a source of infection for people in the United States. The first case of a wild animal testing positive for the virus in the United States was a tiger with a respiratory illness at a zoo in New York City. However, this tiger was in a captive zoo environment ,and public health officials believe the tiger became sick after being exposed to a zoo employee who was infected and spreading the virus.","If a wild animal were to become infected with the virus, we don’t know whether the infection could then spread among wildlife or if it could spread to other animals, including pets. Further studies are needed to understand if and how different animals, including wildlife, could be affected by COVID-19. Because wildlife can carry other diseases, even without looking sick, it is always important to enjoy wildlife from a distance."
192,"If a wild animal were to become infected with the virus, we don’t know whether the infection could then spread among wildlife or if it could spread to other animals, including pets. Further studies are needed to understand if and how different animals, including wildlife, could be affected by coronavirus. Because wildlife can carry other diseases, even without looking sick, it is always important to enjoy wildlife from a distance.","Currently, there is no evidence to suggest the virus that causes COVID-19 is circulating in free-living wildlife in the United States, or that wildlife might be a source of infection for people in the United States. The first case of a wild animal testing positive for the virus in the United States was a tiger with a respiratory illness at a zoo in New York City. However, this tiger was in a captive zoo environment ,and public health officials believe the tiger became sick after being exposed to a zoo employee who was infected and spreading the virus."
193,"Take steps to prevent getting sick from wildlife in the United States: Keep your family, including pets, a safe distance away from wildlife. Do not feed wildlife or touch wildlife droppings. Always wash your hands and supervise children washing their hands after working or playing outside. Leave orphaned animals alone. Often, the parents are close by and will return for their young. Consult your state wildlife agency’s guidance if you are preparing or consuming legally harvested game meat. Do not approach or touch a sick or dead animal – contact your state wildlife agency instead.","If a wild animal were to become infected with the virus, we don’t know whether the infection could then spread among wildlife or if it could spread to other animals, including pets. Further studies are needed to understand if and how different animals, including wildlife, could be affected by COVID-19. Because wildlife can carry other diseases, even without looking sick, it is always important to enjoy wildlife from a distance."
194,"Some animals have tested positive for coronavirus. People who are sick shouldn't have contact with their pets. If someone must care for a pet while sick, they should wash their hands before and after contact and wear a face mask. If your pet is sick, call your vet for advice on what to do.","Some animals have tested positive for coronavirus. People who are sick shouldn't have contact with their pets. If someone must care for a pet while sick, they should wash their hands before and after contact and wear a face mask. If your pet is sick, call your vet for advice on what to do."
195,"Coronaviruses are common in different animals. Rarely, an animal coronavirus can infect humans.","We are still learning about this virus and how it spreads, but it appears it can spread from humans to animals in some situations. CDC is aware of a small number of pets, including cats, reported to be infected with the virus that causes COVID-19, mostly after close contact with people with COVID-19. Most of these animals had contact with a person with COVID-19. A tiger at a New York zoo has also tested positive for the virus that causes COVID-19."
196,"We are still learning about this virus and how it spreads, but it appears it can spread from humans to animals in some situations. CDC is aware of a small number of pets, including cats, reported to be infected with the virus that causes coronavirus, mostly after close contact with people with coronavirus. Most of these animals had contact with a person with coronavirus. A tiger at a New York zoo has also tested positive for the virus that causes coronavirus.","Coronaviruses are common in different animals. Rarely, an animal coronavirus can infect humans."
197,"While this virus seems to have emerged from an animal source, it is now spreading from person-toperson. While CDC recommends that people traveling to affected countries avoid animals both live and dead, there is little evidence that any animals or pets in the United States might be a source of infection for coronavirus in humans.","While this virus seems to have emerged from an animal source, it is now spreading from person-toperson. While CDC recommends that people traveling to affected countries avoid animals both live and dead, there is little evidence that any animals or pets in the United States might be a source of infection for COVID-19 in humans."
198,"The report, published in early April by the National Academies of Sciences, Engineering and Medicine, summarized research that looked at how well the coronavirus coronavirus survives in varying temperatures and humidity levels, and whether the spread of this coronavirus may slow in warmer and more humid weather.","At this time, we do not know for certain whether the spread of COVID-19 will decrease when the weather warms up. But a new report suggests that warmer weather may not have much of an impact."
199,"At this time, we do not know for certain whether the spread of coronavirus will decrease when the weather warms up. But a new report suggests that warmer weather may not have much of an impact.","The report, published in early April by the National Academies of Sciences, Engineering and Medicine, summarized research that looked at how well the COVID-19 coronavirus survives in varying temperatures and humidity levels, and whether the spread of this coronavirus may slow in warmer and more humid weather."
